name,experience,employment,schedule,city,company,description,skills,category,level,salary_from,salary_to,salary
Mid-level Middle Software Engineer,between3And6,part,remote,Нижний Новгород,Авито,"Открыта позиция Middle инженера для решения нетривиальных задач. Разработка новых функциональных возможностей, оптимизация кода, документирование. Стек команды включает Docker, Linux, Git. Работа в продуктовой команде, современный стек, возможность роста.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,220000.0,280000.0,255000.0
Tech Lead,between3And6,part,fullDay,Красноярск,Яндекс,"Открыта позиция Middle инженера для решения нетривиальных задач. Разработка новых функциональных возможностей, оптимизация кода, документирование. Обязателен практический опыт работы с Linux, Go, Git, PostgreSQL. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,70000.0,95000.0,80000.0
Тестировщик-автоматизатор (Python),between1And3,full,fullDay,Ярославль,Тензор,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Обязателен практический опыт работы с Linux, Git, Python. Официальное оформление, ДМС, корпоративное обучение и конференции.",Python;Linux;SQL;Git,Engineer,middle,120000.0,180000.0,150000.0
Аналитик данных (логистика),between1And3,full,fullDay,Санкт-Петербург,ООО Акваарт,"Ищем Middle аналитика данных для работы с метриками и дашбордами. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. В работе будете использовать Statistics, Tableau. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Statistics;Power BI;Tableau,Data Analyst,middle,130000.0,,130000.0
Системный администратор,between1And3,full,fullDay,Владивосток,КГУП Приморский экологический оператор,"Ищем Middle системного администратора для управления IT-инфраструктурой. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Необходимо знание Linux, Docker на уверенном уровне. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Linux;Monitoring;Docker;VMware,System Administrator,middle,78000.0,,78000.0
Backend Developer,between1And3,full,remote,Санкт-Петербург,2ГИС,"В продуктовую команду нужен Junior разработчик для развития API-платформы. Реализация небольших фич, исправление багов, активное обучение внутри команды. Ключевые технологии стека: FastAPI, Docker. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Python;FastAPI;PostgreSQL;Redis;Docker,Backend Developer,junior,120000.0,145000.0,135000.0
Junior Software Engineer,between3And6,full,fullDay,Удалённо,Selectel,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Стек команды включает PostgreSQL, Linux, Git, Docker. Конкурентная зарплата, гибкий график, возможность удалённой работы.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,70000.0,95000.0,80000.0
Software Developer,between3And6,project,fullDay,Краснодар,Контур,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Разработка новых функциональных возможностей, оптимизация кода, документирование. Стек команды включает Docker, Git. Официальное оформление, ДМС, корпоративное обучение и конференции.",Java;Git;Linux;Docker;SQL,Engineer,middle,75000.0,95000.0,80000.0
Tech Lead,between3And6,full,fullDay,Москва,Контур,"Приглашаем Middle специалиста для работы над продуктом компании. Разработка новых функциональных возможностей, оптимизация кода, документирование. В работе будете использовать Linux, Java. Удалённая работа или офис в центре города, дружная команда.",Java;Git;Linux;Docker;SQL,Engineer,middle,175000.0,215000.0,190000.0
Middle Backend Developer,between3And6,full,remote,Санкт-Петербург,VK,"В продуктовую команду нужен Middle разработчик для развития API-платформы. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Обязателен практический опыт работы с Rust. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Rust,Backend Developer,middle,200000.0,,200000.0
Backend Engineer,between3And6,full,fullDay,Нижний Новгород,Яндекс,"Ищем Middle разработчика для работы над core-сервисами нашего продукта. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Стек команды включает Git, MongoDB, Node.js. Официальное оформление, ДМС, корпоративное обучение и конференции.",Node.js;TypeScript;MongoDB;Docker;Git,Backend Developer,middle,160000.0,210000.0,175000.0
Go Developer,between3And6,part,flexible,Удалённо,Тинькофф,"В продуктовую команду нужен Middle разработчик для развития API-платформы. Разработка новых функциональных возможностей, оптимизация кода, документирование. Необходимо знание Docker, Java, Kafka на уверенном уровне. Agile-процессы, современный стек, регулярные performance review.",Java;Spring;PostgreSQL;Kafka;Docker,Backend Developer,middle,185000.0,225000.0,210000.0
Системный аналитик,between3And6,full,fullDay,Санкт-Петербург,АО Аркадия,"Приглашаем Middle специалиста для работы над продуктом компании. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Обязателен практический опыт работы с Linux, Git. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Git;Linux,Engineer,middle,260000.0,,260000.0
Senior Backend Developer,moreThan6,full,fullDay,Нижний Новгород,Тинькофф,"Ищем Senior backend-разработчика для создания высоконагруженных сервисов. Разработка сложных компонентов, участие в архитектурных обсуждениях, техническая экспертиза. Основной инструментарий: Python. Работа над высоконагруженным продуктом, конкурентная зарплата, ДМС.",Python,Backend Developer,senior,370000.0,550000.0,460000.0
Mid-level Backend Engineer,between3And6,full,remote,Ростов-на-Дону,СберТех,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Основной инструментарий: Python, SQL. Официальное оформление, ДМС, корпоративное обучение и конференции.",Python;Git;Linux;Docker;SQL,Engineer,middle,70000.0,85000.0,80000.0
Tech Lead,between3And6,full,remote,Москва,VK,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Ожидаем уверенное владение Git, Go, Docker, Linux. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,135000.0,155000.0,145000.0
Системный администратор,between3And6,full,fullDay,Ростов-на-Дону,Билайн,"Ищем Middle системного администратора для управления IT-инфраструктурой. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Необходимо знание VMware, Windows Server на уверенном уровне. Официальное оформление, ДМС, корпоративное обучение и конференции.",Linux;Windows Server;Active Directory;VMware;Cisco,System Administrator,middle,220000.0,260000.0,245000.0
Mid-level Tech Lead,between3And6,full,flexible,Красноярск,Selectel,"Открыта позиция Middle инженера для решения нетривиальных задач. Разработка новых функциональных возможностей, оптимизация кода, документирование. Обязателен практический опыт работы с Linux, Docker, SQL, Git. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Java;Git;Linux;Docker;SQL,Engineer,middle,80000.0,110000.0,100000.0
Системный администратор,between3And6,full,fullDay,Ростов-на-Дону,МТС,"Приглашаем Middle сисадмина для обслуживания корпоративных систем. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. В работе будете использовать Zabbix, Ansible, Docker. Официальное оформление, ДМС, корпоративное обучение и конференции.",Linux;Bash;Docker;Ansible;Zabbix,System Administrator,middle,75000.0,90000.0,80000.0
Associate Backend Developer,between1And3,full,flexible,Удалённо,VK,"Ищем Junior разработчика для работы над core-сервисами нашего продукта. Выполнение задач из бэклога, участие в митингах команды, изучение внутренних стандартов. Требуется опыт: Django, Celery, Git. Agile-процессы, современный стек, регулярные performance review.",Python;Django;PostgreSQL;Celery;Git,Backend Developer,junior,115000.0,150000.0,130000.0
Middle Backend Developer,between3And6,project,fullDay,Новосибирск,2ГИС,"Команда разработки приглашает Middle backend-инженера. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Основной инструментарий: Docker, Spring. Работа над высоконагруженным продуктом с миллионами пользователей, ДМС.",Java;Spring;PostgreSQL;Kafka;Docker,Backend Developer,middle,100000.0,130000.0,115000.0
Frontend Developer,between3And6,full,flexible,Челябинск,Самокат,"В команду нужен Middle frontend-инженер для разработки React-приложений. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Основной инструментарий: Git, TypeScript, React, Redux. Официальное оформление, ДМС, корпоративное обучение и конференции.",React;Redux;TypeScript;Jest;Git,Frontend Developer,middle,140000.0,175000.0,150000.0
Middle Software Engineer,between3And6,part,remote,Москва,Тинькофф,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Ключевые технологии стека: Python, Linux, REST API, SQL. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Python;SQL;Git;Linux;REST API,Engineer,middle,105000.0,135000.0,125000.0
Senior Fullstack Developer,between3And6,project,flexible,Пермь,2ГИС,"В команду нужен Middle fullstack-инженер для разработки от UI до API. Реализация задач по техническому дизайну, участие в ретроспективах и планировании. В работе будете использовать FastAPI, Python, React, PostgreSQL. Официальное оформление, ДМС, корпоративное обучение и конференции.",React;Python;FastAPI;PostgreSQL;Docker,Fullstack Developer,middle,150000.0,190000.0,175000.0
Senior Fullstack Developer,moreThan6,full,remote,Екатеринбург,Dodo Pizza,"В команду нужен Senior fullstack-инженер для разработки от UI до API. Проектирование архитектурных решений, code review, менторство коллег. Ключевые технологии стека: Node.js, Git. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Vue.js;Node.js;MongoDB;Docker;Git,Fullstack Developer,senior,285000.0,345000.0,305000.0
Linux Administrator,between3And6,full,remote,Самара,Ростелеком,"В IT-отдел нужен Middle специалист для поддержки серверов и сетей. Реализация задач по техническому дизайну, участие в ретроспективах и планировании. Ожидаем уверенное владение PostgreSQL, Linux, Nginx. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Linux;Bash;Nginx;PostgreSQL;Git,System Administrator,middle,75000.0,85000.0,80000.0
Junior DevOps Engineer,between1And3,full,fullDay,Санкт-Петербург,Озон,"В инфраструктурную команду нужен Junior DevOps-инженер для управления облачной платформой. Реализация небольших фич, исправление багов, активное обучение внутри команды. Стек команды включает Linux, Git. Официальное оформление, ДМС, корпоративное обучение и конференции.",Linux;Git,DevOps Engineer,junior,100000.0,120000.0,110000.0
Junior Software Engineer,between3And6,project,fullDay,Ростов-на-Дону,Авито,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Необходимо знание Python, Git на уверенном уровне. Удалённая работа или офис в центре города, дружная команда.",Python;Git;Linux;Docker;SQL,Engineer,middle,115000.0,135000.0,125000.0
Frontend Developer,between3And6,full,remote,Самара,Lamoda,"Ищем Middle frontend-разработчика для создания быстрых и удобных интерфейсов. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ключевые технологии стека: HTML, Git, TypeScript, CSS. Работа в продуктовой команде, современный стек, возможность роста.",React;TypeScript;CSS;HTML;Git,Frontend Developer,middle,150000.0,185000.0,165000.0
Backend Engineer,between1And3,full,remote,Москва,2ГИС,"Ищем Junior backend-разработчика для создания высоконагруженных сервисов. Разработка задач под руководством тимлида, написание тестов, участие в code review. Основной инструментарий: MongoDB, Git, Docker, TypeScript. Официальное оформление, ДМС, корпоративное обучение и конференции.",Node.js;TypeScript;MongoDB;Docker;Git,Backend Developer,junior,40000.0,50000.0,45000.0
System Administrator,between1And3,full,flexible,Казань,Сбер,"Приглашаем Junior сисадмина для обслуживания корпоративных систем. Участие в разработке под наставничеством старших коллег, документирование кода. Стек команды включает Windows Server, Active Directory. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Linux;Windows Server;Active Directory;VMware;Cisco,System Administrator,junior,75000.0,95000.0,80000.0
Software Developer,between3And6,full,flexible,Казань,Контур,"Открыта позиция Middle инженера для решения нетривиальных задач. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Требуется опыт: Python, SQL. Agile-процессы, современный стек, регулярные performance review.",Python;Git;Linux;Docker;SQL,Engineer,middle,190000.0,235000.0,215000.0
Associate Generative AI Engineer,between1And3,full,flexible,Удалённо,МТС,"Приглашаем Junior специалиста в AI-команду для создания production-ready решений. Реализация небольших фич, исправление багов, активное обучение внутри команды. В работе будете использовать Docker, HuggingFace, LLM, Python. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Python;PyTorch;HuggingFace;LLM;Docker,AI Engineer,junior,125000.0,175000.0,155000.0
Senior Sysadmin,between3And6,full,fullDay,Краснодар,РЖД,"В IT-отдел нужен Middle специалист для поддержки серверов и сетей. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Необходимо знание Windows Server, Cisco, VMware, Linux на уверенном уровне. Удалённая работа или офис в центре города, дружная команда.",Linux;Windows Server;Active Directory;VMware;Cisco,System Administrator,middle,75000.0,95000.0,80000.0
Junior Software Engineer,between3And6,full,fullDay,Новосибирск,Тинькофф,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Стек команды включает Git, Linux, Go. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,70000.0,100000.0,90000.0
Backend Engineer,between3And6,full,fullDay,Новосибирск,Яндекс,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Необходимо знание Docker, Linux на уверенном уровне. Конкурентная зарплата, гибкий график, возможность удалённой работы.",Java;Git;Linux;Docker;SQL,Engineer,middle,205000.0,265000.0,225000.0
Системный администратор,between3And6,project,flexible,Москва,МегаФон,"В IT-отдел нужен Middle специалист для поддержки серверов и сетей. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Стек команды включает Zabbix, Bash. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Linux;Bash;Docker;Ansible;Zabbix,System Administrator,middle,85000.0,110000.0,100000.0
Senior Software Engineer,between3And6,full,fullDay,Москва,Контур,"Приглашаем Middle специалиста для работы над продуктом компании. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Ключевые технологии стека: PostgreSQL, Docker, Linux. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,100000.0,145000.0,120000.0
Middle AI Engineer,between3And6,full,remote,Санкт-Петербург,Озон,"Развиваем AI-платформу, ищем Middle инженера с опытом работы с языковыми моделями. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Ожидаем уверенное владение AI. Стабильная компания, интересные технические проекты, сильная культура.",AI,AI Engineer,middle,180000.0,260000.0,220000.0
API Developer,between3And6,full,flexible,Екатеринбург,Самокат,"Ищем Middle backend-разработчика для создания высоконагруженных сервисов. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Ключевые технологии стека: Django, Python, Git, PostgreSQL. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Python;Django;PostgreSQL;Celery;Git,Backend Developer,middle,125000.0,155000.0,140000.0
Middle Sysadmin,between3And6,full,remote,Санкт-Петербург,МегаФон,"Приглашаем Middle сисадмина для обслуживания корпоративных систем. Разработка новых функциональных возможностей, оптимизация кода, документирование. Обязателен практический опыт работы с Linux, Docker, Grafana. Удалённая работа или офис в центре города, дружная команда.",Linux;Kubernetes;Docker;Prometheus;Grafana,System Administrator,middle,90000.0,125000.0,105000.0
Middle Software Engineer,between3And6,full,remote,Москва,Selectel,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Реализация задач по техническому дизайну, участие в ретроспективах и планировании. Требуется опыт: Docker, Go. Конкурентная зарплата с ежегодным ревью, ДМС, оплата конференций.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,85000.0,100000.0,90000.0
Senior Backend Developer,moreThan6,full,fullDay,Екатеринбург,Яндекс,"Ищем Senior backend-разработчика для создания высоконагруженных сервисов. Проектирование архитектурных решений, code review, менторство коллег. Ключевые технологии стека: Node.js. Стабильная компания, интересные технические проекты, сильная культура.",Node.js,Backend Developer,senior,450000.0,675000.0,562500.0
System Administrator,between3And6,full,fullDay,Москва,РЖД,"В IT-отдел нужен Middle специалист для поддержки серверов и сетей. Реализация задач по техническому дизайну, участие в ретроспективах и планировании. Необходимо знание Linux, Cisco, VMware на уверенном уровне. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Linux;Windows Server;Active Directory;VMware;Cisco,System Administrator,middle,85000.0,105000.0,95000.0
Senior Software Engineer,between3And6,full,fullDay,Пермь,Selectel,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Разработка новых функциональных возможностей, оптимизация кода, документирование. Требуется опыт: Linux, PostgreSQL. Конкурентная зарплата, гибкий график, возможность удалённой работы.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,75000.0,90000.0,80000.0
Ведущий инженер-технолог,moreThan6,full,fullDay,Санкт-Петербург,АОВАД,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Разработка новых функциональных возможностей, оптимизация кода, документирование. Требуется опыт: Linux, Docker. Работа над высоконагруженным продуктом, конкурентная зарплата, ДМС.",Linux;Docker,Engineer,middle,200000.0,,200000.0
Backend Engineer,between3And6,full,flexible,Удалённо,Яндекс,"Открыта позиция Middle инженера для решения нетривиальных задач. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ожидаем уверенное владение PostgreSQL, Docker, Git. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,90000.0,115000.0,105000.0
Инженер ИБ | Инженер по эксплуатации средств защиты информации,moreThan6,full,fullDay,Москва,ROSSKO,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ключевые технологии стека: SQL, Docker. Удалённая работа или офис в центре города, дружная команда.",SQL;Docker,Engineer,middle,240000.0,280000.0,260000.0
Senior Backend Developer,between1And3,full,fullDay,Удалённо,Озон,"Приглашаем Junior backend-разработчика для работы над микросервисной архитектурой. Выполнение задач из бэклога, участие в митингах команды, изучение внутренних стандартов. Обязателен практический опыт работы с Python, PostgreSQL. Интересные задачи, сильная инженерная команда, гибкий рабочий день.",Python;FastAPI;PostgreSQL;Redis;Docker,Backend Developer,junior,135000.0,180000.0,155000.0
Mid-level Tech Lead,between3And6,full,fullDay,Удалённо,СберТех,"Открыта позиция Middle инженера для решения нетривиальных задач. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Стек команды включает Python, REST API. Официальное оформление, ДМС, корпоративное обучение и конференции.",Python;SQL;Git;Linux;REST API,Engineer,middle,105000.0,145000.0,125000.0
Middle Senior Sysadmin,between3And6,full,remote,Воронеж,Газпром,"Ищем Middle системного администратора для управления IT-инфраструктурой. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Стек команды включает Linux, Ansible, Bash. Официальное оформление, ДМС, корпоративное обучение и конференции.",Linux;Bash;Docker;Ansible;Zabbix,System Administrator,middle,70000.0,90000.0,80000.0
Middle Backend Engineer,between3And6,full,fullDay,Москва,СберТех,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Необходимо знание REST API, Python, Linux на уверенном уровне. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Python;SQL;Git;Linux;REST API,Engineer,middle,295000.0,390000.0,335000.0
Middle Applied Data Scientist,between3And6,part,fullDay,Санкт-Петербург,Тинькофф,"Ищем Middle Data Scientist для решения предиктивных задач. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Обязателен практический опыт работы с SQL, pandas, sklearn. Конкурентная зарплата, гибкий график, возможность удалённой работы.",Python;sklearn;pandas;SQL;Jupyter,Data Scientist,middle,95000.0,130000.0,110000.0
Java Developer,between3And6,part,flexible,Тюмень,Dodo Pizza,"Ищем Middle разработчика для работы над core-сервисами нашего продукта. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Основной инструментарий: Git, Docker, TypeScript. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Node.js;TypeScript;MongoDB;Docker;Git,Backend Developer,middle,310000.0,375000.0,335000.0
Backend Developer,moreThan6,part,flexible,Красноярск,2ГИС,"Приглашаем Senior backend-разработчика для работы над микросервисной архитектурой. Техническое лидерство в команде, участие в найме, написание технической документации. Основной инструментарий: Kafka, Spring, Docker, PostgreSQL. Официальное оформление, ДМС, корпоративное обучение и конференции.",Java;Spring;PostgreSQL;Kafka;Docker,Backend Developer,senior,345000.0,460000.0,415000.0
ETL Developer,between3And6,full,flexible,Москва,Авито,"Ищем Middle инженера данных для построения ETL-пайплайнов. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Обязателен практический опыт работы с Kafka, SQL, Airflow, Spark. Стабильная компания, интересные технические проекты, сильная культура.",Spark;Kafka;Airflow;Docker;SQL,Data Engineer,middle,215000.0,275000.0,260000.0
"Технический директор (холодоснабжение, инженерные сети)",between3And6,full,fullDay,Москва,ПромИнжХолод,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Разработка новых функциональных возможностей, оптимизация кода, документирование. Основной инструментарий: Python, Linux. Официальное оформление, ДМС, корпоративное обучение и конференции.",SQL;Linux;Python;Git,Engineer,middle,250000.0,,250000.0
Software Developer,between3And6,part,fullDay,Пермь,VK,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Ожидаем уверенное владение Linux, Python. Стабильная компания, интересные технические проекты, сильная культура.",Python;Git;Linux;Docker;SQL,Engineer,middle,140000.0,185000.0,165000.0
Mid-level Backend Engineer,between3And6,full,remote,Удалённо,Selectel,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ключевые технологии стека: Linux, REST API, Python, SQL. Удалённая работа или офис в центре города, дружная команда.",Python;SQL;Git;Linux;REST API,Engineer,middle,105000.0,130000.0,115000.0
Middle Software Developer,between3And6,part,fullDay,Казань,Озон,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Ключевые технологии стека: Docker, Linux. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Java;Git;Linux;Docker;SQL,Engineer,middle,105000.0,150000.0,125000.0
Junior Backend Developer,between1And3,part,flexible,Москва,Тинькофф,"В продуктовую команду нужен Junior разработчик для развития API-платформы. Разработка задач под руководством тимлида, написание тестов, участие в code review. Основной инструментарий: Laravel. Официальное оформление, ДМС, корпоративное обучение и конференции.",Laravel,Backend Developer,junior,120000.0,,120000.0
Junior Software Engineer,between3And6,full,remote,Екатеринбург,Selectel,"Открыта позиция Middle инженера для решения нетривиальных задач. Реализация задач по техническому дизайну, участие в ретроспективах и планировании. Требуется опыт: SQL, Git. Конкурентная зарплата, гибкий график, возможность удалённой работы.",Python;Git;Linux;Docker;SQL,Engineer,middle,160000.0,200000.0,185000.0
Junior Backend Developer,moreThan6,project,fullDay,Нижний Новгород,Озон,"Приглашаем Senior backend-разработчика для работы над микросервисной архитектурой. Проектирование архитектурных решений, code review, менторство коллег. В работе будете использовать Python, PostgreSQL, Docker, FastAPI. Конкурентная зарплата с ежегодным ревью, ДМС, оплата конференций.",Python;FastAPI;PostgreSQL;Redis;Docker,Backend Developer,senior,250000.0,305000.0,290000.0
Mid-level IT Administrator,between3And6,part,flexible,Москва,ВТБ,"Ищем Middle системного администратора для управления IT-инфраструктурой. Разработка новых функциональных возможностей, оптимизация кода, документирование. Необходимо знание VMware, Cisco, Linux на уверенном уровне. Работа в продуктовой команде, современный стек, возможность роста.",Linux;Windows Server;Active Directory;VMware;Cisco,System Administrator,middle,120000.0,165000.0,145000.0
Junior Software Engineer,between3And6,full,flexible,Санкт-Петербург,Selectel,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ожидаем уверенное владение Java, Docker, Linux. Конкурентная зарплата с ежегодным ревью, ДМС, оплата конференций.",Java;Git;Linux;Docker;SQL,Engineer,middle,210000.0,280000.0,255000.0
Software Developer,moreThan6,project,remote,Москва,Selectel,"Приглашаем Lead специалиста для работы над продуктом компании. Управление техническим направлением, планирование спринтов, ответственность за результат. Ожидаем уверенное владение Git, Linux. Удалённая работа или офис в центре города, дружная команда.",Java;Git;Linux;Docker;SQL,Engineer,lead,195000.0,240000.0,215000.0
Инженер по качеству (контролер ОТК),noExperience,full,fullDay,Пенза,АОПТПА,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Требуется опыт: Docker, Python. Работа в продуктовой команде, современный стек, возможность роста.",Python;Linux;Git;Docker,Engineer,middle,46000.0,67000.0,56500.0
Middle Network Administrator,between3And6,project,remote,Самара,МегаФон,"Ищем Middle системного администратора для управления IT-инфраструктурой. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Ключевые технологии стека: Linux, Bash, Zabbix, Ansible. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Linux;Bash;Docker;Ansible;Zabbix,System Administrator,middle,95000.0,130000.0,110000.0
IT Administrator,between3And6,full,remote,Уфа,Сбер,"Приглашаем Middle сисадмина для обслуживания корпоративных систем. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. В работе будете использовать Cisco, VMware, Windows Server, Linux. Конкурентная зарплата с ежегодным ревью, ДМС, оплата конференций.",Linux;Windows Server;Active Directory;VMware;Cisco,System Administrator,middle,100000.0,120000.0,110000.0
Tech Lead,between3And6,project,fullDay,Москва,Авито,"Открыта позиция Middle инженера для решения нетривиальных задач. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ожидаем уверенное владение Linux, Git. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Python;Git;Linux;Docker;SQL,Engineer,middle,140000.0,180000.0,155000.0
DevOps специалист,between1And3,full,fullDay,Санкт-Петербург,ОООВЕБИМ.РУ,"Ищем Middle DevOps-инженера для развития CI/CD инфраструктуры. Разработка новых функциональных возможностей, оптимизация кода, документирование. В работе будете использовать Prometheus, Docker, Linux. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Linux;Prometheus;Docker,DevOps Engineer,middle,100000.0,120000.0,110000.0
Middle Senior Software Engineer,between3And6,full,fullDay,Самара,Контур,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Необходимо знание Docker, Go, Git, PostgreSQL на уверенном уровне. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,90000.0,100000.0,95000.0
