id,name,salary_from,salary_to,salary_currency,experience,employment,schedule,city,company,description,skills,url
1152,Senior Frontend Developer,72000.0,160000.0,RUR,between3And6,part,fullDay,Москва,Акрос,Разработка NLP-систем для обработки текстов на русском и английском языках,JavaScript;React;TypeScript;CSS;HTML,https://hh.ru/vacancy/1152
1153,Middle Data Engineer,1800.0,,USD,moreThan6,full,fullDay,Новосибирск,Тинькофф,Исследование и внедрение новых подходов в области машинного обучения,Python;Spark;Airflow;Kafka;SQL;Elasticsearch;MongoDB,https://hh.ru/vacancy/1153
1154,Middle Product Analyst,,154000.0,RUR,between1And3,full,fullDay,Москва,Wrike,Участие в исследованиях в области компьютерного зрения и обработки изображений,SQL;Python;Amplitude;Mixpanel;A/B testing;MongoDB;Linux,https://hh.ru/vacancy/1154
1155,Business Analyst,47000.0,119000.0,RUR,noExperience,full,remote,Москва,JetBrains,Разработка API и интеграция с внешними сервисами и базами данных,SQL;Excel;Tableau;Power BI;BPMN;REST API;Agile,https://hh.ru/vacancy/1155
1156,Staff Java Developer,124000.0,255000.0,RUR,between3And6,project,remote,Санкт-Петербург,Мегафон,Исследование и внедрение новых подходов в области машинного обучения,Java;Spring;Kafka;PostgreSQL;Docker,https://hh.ru/vacancy/1156
1157,Middle Business Analyst,91000.0,231000.0,RUR,moreThan6,full,fullDay,Нижний Новгород,1С,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,SQL;Excel;Tableau;Power BI;BPMN;gRPC,https://hh.ru/vacancy/1157
1158,Junior Python Developer,94000.0,,RUR,between1And3,full,fullDay,Санкт-Петербург,JetBrains,Разработка NLP-систем для обработки текстов на русском и английском языках,Python;FastAPI;PostgreSQL;Docker;Git;REST API,https://hh.ru/vacancy/1158
1159,Middle Data Scientist,,408000.0,RUR,moreThan6,full,flexible,Новосибирск,VK,Построение аналитических дашбордов и отчётности для принятия бизнес-решений,Python;sklearn;pandas;SQL;Jupyter,https://hh.ru/vacancy/1159
1160,NLP Engineer,147000.0,268000.0,RUR,between1And3,full,shift,Санкт-Петербург,ГК Иннополис,Разработка backend сервисов на Python с использованием современных фреймворков,Python;BERT;HuggingFace;PyTorch;spaCy;GraphQL,https://hh.ru/vacancy/1160
1161,MLOps Engineer,193000.0,,RUR,between3And6,full,fullDay,Москва,DataArt,Участие в исследованиях в области компьютерного зрения и обработки изображений,Python;Docker;Kubernetes;MLflow;Airflow;Agile,https://hh.ru/vacancy/1161
1162,Junior Data Scientist,137000.0,310000.0,RUR,between3And6,full,fullDay,Казань,2ГИС,Создание и поддержка ML моделей для продуктовых задач компании,Python;sklearn;pandas;SQL;Jupyter;Agile;Elasticsearch,https://hh.ru/vacancy/1162
1163,Middle Data Analyst,600.0,1600.0,USD,between1And3,full,remote,Екатеринбург,Яндекс,Сопровождение и развитие MLOps платформы для команды data science,SQL;Python;Tableau;Excel;Power BI,https://hh.ru/vacancy/1163
1164,Senior DevOps Engineer,145000.0,324000.0,RUR,between3And6,full,remote,Екатеринбург,Ростелеком,Работа с большими объёмами данных в Spark и Hadoop кластерах,Docker;Kubernetes;Terraform;Jenkins;Linux,https://hh.ru/vacancy/1164
1165,Lead iOS Developer,73000.0,,RUR,noExperience,full,fullDay,Санкт-Петербург,Wrike,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,Swift;Objective-C;Xcode;Git;REST API;MongoDB,https://hh.ru/vacancy/1165
1166,NLP Engineer,103000.0,223000.0,RUR,noExperience,full,flexible,Москва,Сколтех,Сопровождение и развитие MLOps платформы для команды data science,Python;BERT;HuggingFace;PyTorch;spaCy,https://hh.ru/vacancy/1166
1167,MLOps Engineer,129000.0,275000.0,RUR,between1And3,full,fullDay,Краснодар,DataArt,Разработка мобильных приложений с использованием современных технологий,Python;Docker;Kubernetes;MLflow;Airflow;MongoDB,https://hh.ru/vacancy/1167
1168,Senior Computer Vision Engineer,,3900.0,USD,between1And3,full,fullDay,Санкт-Петербург,МТС,Создание рекомендательных систем на основе коллаборативной фильтрации,Python;OpenCV;PyTorch;CUDA;TensorFlow;Linux;Git,https://hh.ru/vacancy/1168
1169,Lead NLP Engineer,,4000.0,USD,moreThan6,full,fullDay,Москва,Ростелеком,Анализ больших данных и построение дата-пайплайнов для бизнеса,Python;BERT;HuggingFace;PyTorch;spaCy;Git;MongoDB,https://hh.ru/vacancy/1169
1170,Senior Data Analyst,600.0,1400.0,EUR,between1And3,full,remote,Санкт-Петербург,2ГИС,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,SQL;Python;Tableau;Excel;Power BI;Linux,https://hh.ru/vacancy/1170
1171,Lead Java Developer,112000.0,213000.0,RUR,between1And3,full,remote,Санкт-Петербург,Мегафон,Исследование и внедрение новых подходов в области машинного обучения,Java;Spring;Kafka;PostgreSQL;Docker;Agile;gRPC,https://hh.ru/vacancy/1171
1172,Junior Python Developer,900.0,2200.0,EUR,between1And3,project,fullDay,Санкт-Петербург,Wrike,Исследование и внедрение новых подходов в области машинного обучения,Python;FastAPI;PostgreSQL;Docker;Git;Linux,https://hh.ru/vacancy/1172
1173,Java Developer,1300.0,3100.0,USD,between3And6,full,remote,Саратов,DataArt,Анализ больших данных и построение дата-пайплайнов для бизнеса,Java;Spring;Kafka;PostgreSQL;Docker;Elasticsearch,https://hh.ru/vacancy/1173
1174,Junior NLP Engineer,115000.0,223000.0,RUR,noExperience,full,fullDay,Санкт-Петербург,Mail.ru,Создание и поддержка ML моделей для продуктовых задач компании,Python;BERT;HuggingFace;PyTorch;spaCy,https://hh.ru/vacancy/1174
1175,Senior Java Developer,1400.0,3200.0,USD,between3And6,full,flexible,Москва,1С,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Java;Spring;Kafka;PostgreSQL;Docker;MongoDB,https://hh.ru/vacancy/1175
1176,Senior Python Developer,79000.0,235000.0,RUR,between1And3,full,fullDay,Новосибирск,Luxoft,Сопровождение и развитие MLOps платформы для команды data science,Python;FastAPI;PostgreSQL;Docker;Git;MongoDB,https://hh.ru/vacancy/1176
1177,Junior Business Analyst,68000.0,150000.0,RUR,between3And6,full,remote,Москва,ВТБ,Проектирование архитектуры микросервисов и интеграций с внешними системами,SQL;Excel;Tableau;Power BI;BPMN;Elasticsearch;Agile,https://hh.ru/vacancy/1177
1178,DevOps Engineer,141000.0,319000.0,RUR,between3And6,full,fullDay,Ростов-на-Дону,Лаборатория Касперского,Создание и поддержка ML моделей для продуктовых задач компании,Docker;Kubernetes;Terraform;Jenkins;Linux;Git;Scrum,https://hh.ru/vacancy/1178
1179,Business Analyst,47000.0,93000.0,RUR,noExperience,project,remote,Новосибирск,Luxoft,Исследование и внедрение новых подходов в области машинного обучения,SQL;Excel;Tableau;Power BI;BPMN;Git,https://hh.ru/vacancy/1179
1180,Computer Vision Engineer,168000.0,285000.0,RUR,between1And3,full,fullDay,Уфа,JetBrains,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Python;OpenCV;PyTorch;CUDA;TensorFlow;Scrum,https://hh.ru/vacancy/1180
1181,Staff Data Analyst,102000.0,185000.0,RUR,moreThan6,full,flexible,Санкт-Петербург,2ГИС,Создание и поддержка ML моделей для продуктовых задач компании,SQL;Python;Tableau;Excel;Power BI,https://hh.ru/vacancy/1181
1182,Junior Data Scientist,,116000.0,RUR,between1And3,full,fullDay,Москва,EPAM,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,Python;pandas;sklearn;numpy;SQL,https://hh.ru/vacancy/1182
1183,Data Engineer,134000.0,251000.0,RUR,between1And3,project,fullDay,Самара,DataArt,Участие в исследованиях в области компьютерного зрения и обработки изображений,Python;Spark;Airflow;Kafka;SQL;Agile,https://hh.ru/vacancy/1183
1184,Senior Backend Developer,66000.0,179000.0,RUR,between1And3,full,fullDay,Москва,Альфа-Банк,Анализ больших данных и построение дата-пайплайнов для бизнеса,Python;Django;Redis;PostgreSQL;Linux;Agile;Scrum,https://hh.ru/vacancy/1184
1185,Senior Python Developer,111000.0,279000.0,RUR,noExperience,full,fullDay,Санкт-Петербург,Luxoft,Исследование и внедрение новых подходов в области машинного обучения,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis;Linux,https://hh.ru/vacancy/1185
1186,Staff Frontend Developer,83000.0,191000.0,RUR,between3And6,part,remote,Казань,Wrike,Создание и поддержка ML моделей для продуктовых задач компании,JavaScript;React;TypeScript;CSS;HTML,https://hh.ru/vacancy/1186
1187,Lead Computer Vision Engineer,,,RUR,moreThan6,full,fullDay,Уфа,Luxoft,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Python;OpenCV;PyTorch;CUDA;TensorFlow;gRPC;Agile,https://hh.ru/vacancy/1187
1188,Lead Go Developer,185000.0,442000.0,RUR,moreThan6,full,fullDay,Ростов-на-Дону,Wildberries,Исследование и внедрение новых подходов в области машинного обучения,Go;gRPC;PostgreSQL;Redis;Kubernetes;Git;MongoDB,https://hh.ru/vacancy/1188
1189,Middle Data Engineer,,196000.0,RUR,noExperience,full,fullDay,Москва,Wildberries,Разработка backend сервисов на Python с использованием современных фреймворков,Python;Spark;Airflow;Kafka;SQL;Scrum,https://hh.ru/vacancy/1189
1190,Senior Python Developer,250000.0,552000.0,RUR,moreThan6,full,flexible,Москва,Лаборатория Касперского,Разработка API и интеграция с внешними сервисами и базами данных,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis;Git;Linux,https://hh.ru/vacancy/1190
1191,Middle Data Analyst,64000.0,,RUR,between1And3,part,fullDay,Москва,Сколтех,Сопровождение и развитие MLOps платформы для команды data science,SQL;Python;Tableau;Excel;Power BI,https://hh.ru/vacancy/1191
1192,Junior Backend Developer,54000.0,117000.0,RUR,noExperience,full,fullDay,Уфа,Mail.ru,Построение аналитических дашбордов и отчётности для принятия бизнес-решений,Python;Django;Redis;PostgreSQL;Linux;REST API;GraphQL,https://hh.ru/vacancy/1192
1193,Junior MLOps Engineer,168000.0,357000.0,RUR,between3And6,full,fullDay,Волгоград,Лаборатория Касперского,Разработка NLP-систем для обработки текстов на русском и английском языках,Python;Docker;Kubernetes;MLflow;Airflow;Scrum;Agile,https://hh.ru/vacancy/1193
1194,Senior Python Developer,120000.0,,RUR,noExperience,full,flexible,Москва,VK,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis,https://hh.ru/vacancy/1194
1195,Senior Frontend Developer,106000.0,,RUR,moreThan6,full,fullDay,Санкт-Петербург,Альфа-Банк,Разработка NLP-систем для обработки текстов на русском и английском языках,JavaScript;React;TypeScript;CSS;HTML;MongoDB;Linux,https://hh.ru/vacancy/1195
1196,Lead Data Scientist,69000.0,204000.0,RUR,noExperience,full,fullDay,Челябинск,2ГИС,Исследование и внедрение новых подходов в области машинного обучения,Python;sklearn;pandas;SQL;Jupyter;GraphQL;gRPC,https://hh.ru/vacancy/1196
1197,Middle DevOps Engineer,128000.0,277000.0,RUR,between1And3,full,remote,Казань,ГК Иннополис,Разработка мобильных приложений с использованием современных технологий,Docker;Kubernetes;Terraform;Jenkins;Linux;MongoDB,https://hh.ru/vacancy/1197
1198,Senior Python Developer,,447000.0,RUR,between3And6,full,fullDay,Екатеринбург,Раифайзен,Построение аналитических дашбордов и отчётности для принятия бизнес-решений,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis,https://hh.ru/vacancy/1198
1199,iOS Developer,94000.0,,RUR,between1And3,full,fullDay,Москва,Сбер,Создание и поддержка ML моделей для продуктовых задач компании,Swift;Objective-C;Xcode;Git;REST API;Linux,https://hh.ru/vacancy/1199
1200,Product Analyst,700.0,,EUR,between3And6,part,fullDay,Ростов-на-Дону,ИТМО,Разработка NLP-систем для обработки текстов на русском и английском языках,SQL;Python;Amplitude;Mixpanel;A/B testing,https://hh.ru/vacancy/1200
1201,Junior Data Scientist,57000.0,96000.0,RUR,between1And3,full,fullDay,Новосибирск,Авито,Проектирование архитектуры микросервисов и интеграций с внешними системами,Python;pandas;sklearn;numpy;SQL;MongoDB;Linux,https://hh.ru/vacancy/1201
1202,Middle Data Scientist,87000.0,,RUR,between1And3,full,shift,Ростов-на-Дону,Evrone,Создание и поддержка ML моделей для продуктовых задач компании,Python;sklearn;pandas;SQL;Jupyter;Agile,https://hh.ru/vacancy/1202
1203,Middle Java Developer,111000.0,204000.0,RUR,between1And3,full,remote,Казань,1С,Создание и поддержка ML моделей для продуктовых задач компании,Java;Spring;Kafka;PostgreSQL;Docker;GraphQL,https://hh.ru/vacancy/1203
1204,Lead Business Analyst,61000.0,158000.0,RUR,between1And3,full,fullDay,Челябинск,Акрос,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,SQL;Excel;Tableau;Power BI;BPMN;gRPC;Elasticsearch,https://hh.ru/vacancy/1204
1205,Lead Frontend Developer,78000.0,137000.0,RUR,between1And3,full,remote,Краснодар,Альфа-Банк,Разработка API и интеграция с внешними сервисами и базами данных,JavaScript;React;TypeScript;CSS;HTML,https://hh.ru/vacancy/1205
1206,Junior Data Scientist,123000.0,313000.0,RUR,between3And6,project,remote,Санкт-Петербург,EPAM,Разработка мобильных приложений с использованием современных технологий,Python;sklearn;pandas;SQL;Jupyter;GraphQL;Scrum,https://hh.ru/vacancy/1206
1207,Middle Product Analyst,68000.0,153000.0,RUR,between1And3,part,remote,Москва,ИТМО,Разработка API и интеграция с внешними сервисами и базами данных,SQL;Python;Amplitude;Mixpanel;A/B testing;Git;GraphQL,https://hh.ru/vacancy/1207
1208,Senior Backend Developer,1400.0,2900.0,USD,moreThan6,volunteer,fullDay,Краснодар,Раифайзен,Проектирование архитектуры микросервисов и интеграций с внешними системами,Python;Django;Redis;PostgreSQL;Linux;Agile;Scrum,https://hh.ru/vacancy/1208
1209,iOS Developer,106000.0,197000.0,RUR,between3And6,full,fullDay,Челябинск,Альфа-Банк,Построение аналитических дашбордов и отчётности для принятия бизнес-решений,Swift;Objective-C;Xcode;Git;REST API;Scrum,https://hh.ru/vacancy/1209
1210,Lead Backend Developer,700.0,1800.0,EUR,between1And3,full,fullDay,Москва,Mail.ru,Разработка мобильных приложений с использованием современных технологий,Python;Django;Redis;PostgreSQL;Linux;MongoDB,https://hh.ru/vacancy/1210
1211,Senior ML Engineer,2000.0,4200.0,USD,between3And6,full,fullDay,Новосибирск,Озон,Исследование и внедрение новых подходов в области машинного обучения,Python;PyTorch;Kubernetes;MLflow;Airflow;GraphQL,https://hh.ru/vacancy/1211
1212,Staff MLOps Engineer,129000.0,330000.0,RUR,between1And3,full,fullDay,Санкт-Петербург,Альфа-Банк,Проектирование архитектуры микросервисов и интеграций с внешними системами,Python;Docker;Kubernetes;MLflow;Airflow;Scrum;Git,https://hh.ru/vacancy/1212
1213,Product Analyst,80000.0,197000.0,RUR,between3And6,volunteer,flexible,Казань,Мегафон,Участие в исследованиях в области компьютерного зрения и обработки изображений,SQL;Python;Amplitude;Mixpanel;A/B testing;Elasticsearch,https://hh.ru/vacancy/1213
1214,Data Engineer,127000.0,,RUR,between1And3,full,fullDay,Волгоград,ГК Иннополис,Участие в исследованиях в области компьютерного зрения и обработки изображений,Python;Spark;Airflow;Kafka;SQL,https://hh.ru/vacancy/1214
1215,Lead ML Engineer,287000.0,473000.0,RUR,between1And3,full,flexible,Челябинск,Акрос,Участие в исследованиях в области компьютерного зрения и обработки изображений,Python;PyTorch;TensorFlow;MLflow;Kubernetes;REST API;Git,https://hh.ru/vacancy/1215
1216,Senior Python Developer,1600.0,2700.0,USD,noExperience,full,flexible,Москва,Озон,Создание и поддержка ML моделей для продуктовых задач компании,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis,https://hh.ru/vacancy/1216
1217,Product Analyst,69000.0,178000.0,RUR,between1And3,project,fullDay,Новосибирск,Luxoft,Разработка backend сервисов на Python с использованием современных фреймворков,SQL;Python;Amplitude;Mixpanel;A/B testing,https://hh.ru/vacancy/1217
1218,Senior Python Developer,104000.0,282000.0,RUR,between3And6,full,fullDay,Пермь,Сколтех,Проектирование архитектуры микросервисов и интеграций с внешними системами,Python;FastAPI;PostgreSQL;Docker;Git;REST API;GraphQL,https://hh.ru/vacancy/1218
1219,Senior Python Developer,187000.0,360000.0,RUR,between1And3,full,fullDay,Москва,Wildberries,Проектирование архитектуры микросервисов и интеграций с внешними системами,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis,https://hh.ru/vacancy/1219
1220,Junior Data Scientist,,69000.0,RUR,noExperience,project,fullDay,Уфа,Сбер,Проектирование архитектуры микросервисов и интеграций с внешними системами,Python;pandas;sklearn;numpy;SQL;MongoDB;GraphQL,https://hh.ru/vacancy/1220
1221,Middle Android Developer,1100.0,2400.0,USD,between3And6,full,remote,Москва,ВТБ,Создание и поддержка ML моделей для продуктовых задач компании,Kotlin;Android;Java;Git;REST API,https://hh.ru/vacancy/1221
1222,Senior iOS Developer,103000.0,188000.0,RUR,between1And3,full,fullDay,Санкт-Петербург,Лаборатория Касперского,Анализ больших данных и построение дата-пайплайнов для бизнеса,Swift;Objective-C;Xcode;Git;REST API;Scrum;Elasticsearch,https://hh.ru/vacancy/1222
1223,Middle DevOps Engineer,,3200.0,EUR,between3And6,part,fullDay,Челябинск,МТС,Создание рекомендательных систем на основе коллаборативной фильтрации,Docker;Kubernetes;Terraform;Jenkins;Linux;REST API,https://hh.ru/vacancy/1223
1224,NLP Engineer,1800.0,3300.0,USD,between3And6,full,flexible,Нижний Новгород,Раифайзен,Разработка API и интеграция с внешними сервисами и базами данных,Python;BERT;HuggingFace;PyTorch;spaCy;gRPC;REST API,https://hh.ru/vacancy/1224
1225,Lead ML Engineer,,304000.0,RUR,noExperience,full,flexible,Уфа,ВТБ,Сопровождение и развитие MLOps платформы для команды data science,Python;PyTorch;TensorFlow;MLflow;Kubernetes;REST API,https://hh.ru/vacancy/1225
1226,Lead NLP Engineer,139000.0,281000.0,RUR,between1And3,volunteer,flexible,Москва,Тинькофф,Проектирование архитектуры микросервисов и интеграций с внешними системами,Python;BERT;HuggingFace;PyTorch;spaCy;GraphQL,https://hh.ru/vacancy/1226
1227,Senior Python Developer,176000.0,348000.0,RUR,between1And3,part,fullDay,Самара,Раифайзен,Разработка API и интеграция с внешними сервисами и базами данных,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis;gRPC,https://hh.ru/vacancy/1227
1228,Middle Business Analyst,70000.0,151000.0,RUR,between1And3,full,fullDay,Москва,Luxoft,Работа с большими объёмами данных в Spark и Hadoop кластерах,SQL;Excel;Tableau;Power BI;BPMN,https://hh.ru/vacancy/1228
1229,Go Developer,146000.0,298000.0,RUR,between1And3,full,shift,Пермь,ГК Иннополис,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Go;gRPC;PostgreSQL;Redis;Kubernetes,https://hh.ru/vacancy/1229
1230,Backend Developer,1200.0,2800.0,USD,moreThan6,project,fullDay,Казань,Сколтех,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;Django;Redis;PostgreSQL;Linux;Linux,https://hh.ru/vacancy/1230
1231,Frontend Developer,700.0,,USD,between1And3,full,remote,Новосибирск,Авито,Разработка NLP-систем для обработки текстов на русском и английском языках,JavaScript;React;TypeScript;CSS;HTML;gRPC,https://hh.ru/vacancy/1231
1232,Senior iOS Developer,67000.0,144000.0,RUR,noExperience,full,fullDay,Екатеринбург,Яндекс,Создание рекомендательных систем на основе коллаборативной фильтрации,Swift;Objective-C;Xcode;Git;REST API;GraphQL,https://hh.ru/vacancy/1232
1233,Product Analyst,800.0,,USD,between1And3,full,fullDay,Краснодар,VK,Проектирование архитектуры микросервисов и интеграций с внешними системами,SQL;Python;Amplitude;Mixpanel;A/B testing;GraphQL;Elasticsearch,https://hh.ru/vacancy/1233
1234,Junior Data Scientist,37000.0,83000.0,RUR,noExperience,full,remote,Казань,Акрос,Разработка мобильных приложений с использованием современных технологий,Python;pandas;sklearn;numpy;SQL,https://hh.ru/vacancy/1234
1235,Senior Python Developer,,238000.0,RUR,between1And3,full,fullDay,Москва,Тинькофф,Анализ больших данных и построение дата-пайплайнов для бизнеса,Python;FastAPI;PostgreSQL;Docker;Git,https://hh.ru/vacancy/1235
1236,Junior Product Analyst,53000.0,117000.0,RUR,noExperience,part,remote,Москва,EPAM,Разработка мобильных приложений с использованием современных технологий,SQL;Python;Amplitude;Mixpanel;A/B testing;gRPC,https://hh.ru/vacancy/1236
1237,Junior Python Developer,89000.0,236000.0,RUR,between1And3,full,fullDay,Челябинск,Авито,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;FastAPI;PostgreSQL;Docker;Git;gRPC;Git,https://hh.ru/vacancy/1237
1238,Data Engineer,,,RUR,between1And3,full,remote,Пермь,Авито,Разработка NLP-систем для обработки текстов на русском и английском языках,Python;Spark;Airflow;Kafka;SQL,https://hh.ru/vacancy/1238
1239,Middle Java Developer,97000.0,231000.0,RUR,between1And3,full,shift,Нижний Новгород,ИТМО,Разработка API и интеграция с внешними сервисами и базами данных,Java;Spring;Kafka;PostgreSQL;Docker,https://hh.ru/vacancy/1239
1240,Go Developer,134000.0,313000.0,RUR,between3And6,full,flexible,Волгоград,Evrone,Создание рекомендательных систем на основе коллаборативной фильтрации,Go;gRPC;PostgreSQL;Redis;Kubernetes;gRPC;GraphQL,https://hh.ru/vacancy/1240
1241,Lead MLOps Engineer,1300.0,2900.0,EUR,between1And3,full,remote,Санкт-Петербург,2ГИС,Создание и поддержка ML моделей для продуктовых задач компании,Python;Docker;Kubernetes;MLflow;Airflow;Linux;Elasticsearch,https://hh.ru/vacancy/1241
1242,Product Analyst,1100.0,2300.0,USD,between3And6,full,flexible,Москва,ИТМО,Разработка мобильных приложений с использованием современных технологий,SQL;Python;Amplitude;Mixpanel;A/B testing,https://hh.ru/vacancy/1242
1243,Go Developer,117000.0,271000.0,RUR,between1And3,full,fullDay,Пермь,Wrike,Разработка backend сервисов на Python с использованием современных фреймворков,Go;gRPC;PostgreSQL;Redis;Kubernetes;Agile,https://hh.ru/vacancy/1243
1244,Lead ML Engineer,308000.0,466000.0,RUR,between3And6,full,flexible,Волгоград,2ГИС,Исследование и внедрение новых подходов в области машинного обучения,Python;PyTorch;TensorFlow;MLflow;Kubernetes,https://hh.ru/vacancy/1244
1245,Staff iOS Developer,61000.0,158000.0,RUR,noExperience,full,remote,Новосибирск,SKB Kontur,Проектирование архитектуры микросервисов и интеграций с внешними системами,Swift;Objective-C;Xcode;Git;REST API;Git,https://hh.ru/vacancy/1245
1246,Senior Python Developer,166000.0,360000.0,RUR,between1And3,full,flexible,Москва,JetBrains,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis;MongoDB;REST API,https://hh.ru/vacancy/1246
1247,Data Scientist,102000.0,290000.0,RUR,between1And3,part,fullDay,Санкт-Петербург,Wrike,Разработка мобильных приложений с использованием современных технологий,Python;sklearn;pandas;SQL;Jupyter;gRPC;Agile,https://hh.ru/vacancy/1247
1248,DevOps Engineer,159000.0,292000.0,RUR,between3And6,project,remote,Санкт-Петербург,ВТБ,Разработка backend сервисов на Python с использованием современных фреймворков,Docker;Kubernetes;Terraform;Jenkins;Linux,https://hh.ru/vacancy/1248
1249,Lead ML Engineer,312000.0,532000.0,RUR,between3And6,full,flexible,Новосибирск,Positive Technologies,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;PyTorch;TensorFlow;MLflow;Kubernetes;gRPC;Agile,https://hh.ru/vacancy/1249
1250,NLP Engineer,139000.0,268000.0,RUR,between1And3,full,flexible,Москва,Лаборатория Касперского,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,Python;BERT;HuggingFace;PyTorch;spaCy;gRPC,https://hh.ru/vacancy/1250
1251,Senior Computer Vision Engineer,133000.0,,RUR,between1And3,part,fullDay,Санкт-Петербург,Раифайзен,Построение аналитических дашбордов и отчётности для принятия бизнес-решений,Python;OpenCV;PyTorch;CUDA;TensorFlow;Linux;GraphQL,https://hh.ru/vacancy/1251
1252,Junior NLP Engineer,2100.0,4500.0,USD,moreThan6,full,fullDay,Санкт-Петербург,ИТМО,Анализ больших данных и построение дата-пайплайнов для бизнеса,Python;BERT;HuggingFace;PyTorch;spaCy;Linux,https://hh.ru/vacancy/1252
1253,Middle Product Analyst,92000.0,217000.0,RUR,between3And6,part,fullDay,Волгоград,Озон,Построение аналитических дашбордов и отчётности для принятия бизнес-решений,SQL;Python;Amplitude;Mixpanel;A/B testing;Agile,https://hh.ru/vacancy/1253
1254,Lead MLOps Engineer,130000.0,291000.0,RUR,between1And3,full,fullDay,Москва,ВТБ,Анализ больших данных и построение дата-пайплайнов для бизнеса,Python;Docker;Kubernetes;MLflow;Airflow;Git,https://hh.ru/vacancy/1254
1255,Junior Frontend Developer,74000.0,174000.0,RUR,between1And3,full,fullDay,Москва,Сколтех,Анализ больших данных и построение дата-пайплайнов для бизнеса,JavaScript;React;TypeScript;CSS;HTML;Elasticsearch,https://hh.ru/vacancy/1255
1256,Lead ML Engineer,290000.0,443000.0,RUR,between3And6,full,flexible,Москва,Wildberries,Разработка backend сервисов на Python с использованием современных фреймворков,Python;PyTorch;TensorFlow;MLflow;Kubernetes;GraphQL;Git,https://hh.ru/vacancy/1256
1257,Lead ML Engineer,3100.0,4800.0,USD,between3And6,full,flexible,Москва,1С,Создание рекомендательных систем на основе коллаборативной фильтрации,Python;PyTorch;TensorFlow;MLflow;Kubernetes;Elasticsearch;REST API,https://hh.ru/vacancy/1257
1258,Junior Data Scientist,37000.0,75000.0,RUR,noExperience,part,remote,Москва,EPAM,Разработка API и интеграция с внешними сервисами и базами данных,Python;pandas;sklearn;numpy;SQL,https://hh.ru/vacancy/1258
1259,DevOps Engineer,137000.0,239000.0,RUR,between1And3,full,fullDay,Санкт-Петербург,JetBrains,Разработка мобильных приложений с использованием современных технологий,Docker;Kubernetes;Terraform;Jenkins;Linux,https://hh.ru/vacancy/1259
1260,Junior Data Scientist,53000.0,117000.0,RUR,between3And6,part,remote,Нижний Новгород,Positive Technologies,Участие в исследованиях в области компьютерного зрения и обработки изображений,Python;pandas;sklearn;numpy;SQL;Agile;Linux,https://hh.ru/vacancy/1260
1261,MLOps Engineer,,2700.0,USD,noExperience,full,fullDay,Санкт-Петербург,Озон,Разработка мобильных приложений с использованием современных технологий,Python;Docker;Kubernetes;MLflow;Airflow,https://hh.ru/vacancy/1261
1262,Junior Data Scientist,43000.0,108000.0,RUR,between1And3,full,remote,Москва,Яндекс,Создание рекомендательных систем на основе коллаборативной фильтрации,Python;pandas;sklearn;numpy;SQL;gRPC;Scrum,https://hh.ru/vacancy/1262
1263,Backend Developer,800.0,1800.0,USD,between1And3,full,fullDay,Пермь,ИТМО,Сопровождение и развитие MLOps платформы для команды data science,Python;Django;Redis;PostgreSQL;Linux;GraphQL;Agile,https://hh.ru/vacancy/1263
1264,Junior Business Analyst,85000.0,154000.0,RUR,between3And6,full,shift,Екатеринбург,Сколтех,Создание рекомендательных систем на основе коллаборативной фильтрации,SQL;Excel;Tableau;Power BI;BPMN;Linux;Git,https://hh.ru/vacancy/1264
1265,Junior Data Engineer,188000.0,354000.0,RUR,moreThan6,full,remote,Новосибирск,Luxoft,Построение аналитических дашбордов и отчётности для принятия бизнес-решений,Python;Spark;Airflow;Kafka;SQL;MongoDB;REST API,https://hh.ru/vacancy/1265
1266,Lead ML Engineer,2000.0,3500.0,USD,noExperience,full,remote,Москва,ИТМО,Сопровождение и развитие MLOps платформы для команды data science,Python;PyTorch;TensorFlow;MLflow;Kubernetes,https://hh.ru/vacancy/1266
